t(s)	theta(rad)
4.317000	-0.662134
7.200000	-0.667981
8.617000	-0.670076
10.050000	-0.673043
11.483000	-0.676402
12.900000	-0.678235
14.333000	-0.681507
15.733000	-0.682729
18.600000	-0.687136
20.000000	-0.689580
21.417000	-0.693725
22.833000	-0.694772
24.233000	-0.696605
25.650000	-0.699964
27.050000	-0.704066
28.467000	-0.704895
29.900000	-0.707600
31.300000	-0.709825
34.117000	-0.714843
35.517000	-0.716894
36.933000	-0.718857
38.333000	-0.721475
39.733000	-0.722784
41.133000	-0.723657
42.533000	-0.728413
46.683000	-0.733911
48.133000	-0.736093
96.667000	-0.791009
98.450000	-0.768962
99.667000	-0.769908
101.117000	-0.766527
102.533000	-0.768276
