t(s)	theta(rad)
0.960000	0.490961
2.000000	0.500211
3.040000	0.449248
4.080000	0.431096
5.080000	0.414865
6.120000	0.397586
7.160000	0.376468
8.200000	0.356047
9.200000	0.337547
10.240000	0.320442
11.280000	0.301942
12.280000	0.283092
13.320000	0.262672
14.320000	0.242601
15.360000	0.226195
16.400000	0.207345
17.400000	0.190764
18.440000	0.173206
19.440000	0.159366
20.440000	0.144164
21.480000	0.128369
22.480000	0.114773
23.520000	0.100880
24.520000	0.089500
25.520000	0.079203
26.520000	0.068591
27.520000	0.058015
28.560000	0.050213
29.560000	0.040876
30.560000	0.034592
31.520000	0.028309
32.520000	0.024435
33.520000	0.017767
34.480000	0.013788
35.120000	-0.004992
35.920000	-0.007906
36.440000	0.006562
37.080000	0.002217
38.200000	0.013893
